Local Government Area,Owned - outright,Owned - with a mortgage,Rented - Real estate agent,Rented - State or territory housing authority,Rented - Person not in same household,"Rented - Housing co-operative, community or church group",Rented - Other landlord type ,Rented - Landlord type not stated,Other tenure type,Tenure type not stated,Total,Median mortgage repayment ($/monthly),State
LGA62810 Hobart (C),"6,523","5,650","3,062",648,"2,543",232,193,117,239,405,"19,612","1,700",Tasmania
LGA63010 Huon Valley (M),"2,408","2,190",357,87,427,33,91,51,46,122,"5,812","1,200",Tasmania
LGA63210 Kentish (M),999,828,93,28,167,18,23,33,16,38,"2,243","1,127",Tasmania
LGA63410 King Island (M),255,161,14,11,118,12,56,17,10,24,678,867,Tasmania
LGA63610 Kingborough (M),"4,845","4,925","1,011",336,958,101,92,65,91,213,"12,637","1,517",Tasmania
LGA63810 Latrobe (M),"1,521","1,263",332,120,317,34,58,31,28,78,"3,782","1,300",Tasmania
LGA64010 Launceston (C),"7,976","8,174","3,405","1,819","2,428",223,306,194,227,681,"25,433","1,300",Tasmania
LGA64210 Meander Valley (M),"3,005","2,645",500,184,548,43,109,72,51,167,"7,324","1,300",Tasmania
LGA64610 Northern Midlands (M),"1,933","1,593",243,150,418,60,147,52,32,121,"4,749","1,246",Tasmania
LGA64810 Sorell (M),"1,698","2,325",354,84,450,12,44,35,19,112,"5,133","1,275",Tasmania
LGA65010 Southern Midlands (M),878,935,51,24,187,11,54,33,28,53,"2,254","1,183",Tasmania
LGA65210 Tasman (M),467,271,39,4,99,3,13,11,6,39,952,927,Tasmania
LGA65410 Waratah/Wynyard (M),"2,169","1,736",408,328,414,47,62,35,38,139,"5,376","1,192",Tasmania
LGA65610 West Coast (M),829,473,177,32,174,6,139,24,19,59,"1,932",758,Tasmania
LGA65810 West Tamar (M),"3,428","3,102",700,119,511,30,86,52,55,177,"8,260","1,300",Tasmania
LGA70200 Alice Springs (T),"1,315","3,126","1,299",759,701,62,554,144,72,366,"8,398","1,950",Northern Territory
LGA70420 Barkly (S),145,181,37,489,104,149,223,47,39,116,"1,530",922,Northern Territory
LGA70540 Belyuen (S),0,0,0,27,0,0,5,0,0,4,36,0,Northern Territory
LGA70620 Central Desert (S),22,7,0,375,7,65,103,26,25,35,665,0,Northern Territory
